,White_Age0_14_MaleRate,White_Age15_24_MaleRate,White_Age25_44_MaleRate,White_Age45_64_MaleRate,White_Age65Plus_MaleRate
1280,,,,113.57,275.38
1281,,,,,
1282,,,,82.54,
1283,,,,,
1284,,,,59.13,128.51
1285,,,,,
1286,,,,,
1287,,,,,
1288,,,,,245.09
1289,,,,,
1290,,,,62.6,131.19
1291,,,,67.67,162.39
1292,,,,77.81,156.35
1293,,,,65.66,163.13
1294,,,,74.19,83.44
1295,,,,117.22,169.07
1296,,,,58.58,119.44
1297,,,,,
1298,,,,,
1299,,,,69.17,
1300,,,,104.43,
1301,,,,106.06,149.16
1302,,,,,
1303,,,,,324.63
1304,,,,,
1305,,,,,
1306,,,,42.03,66.22
1307,,,,86.15,229.18
1308,,,,65.32,167.37
1309,,,,86.0,
1310,,,,,
1311,,,,,
1312,,,,,
1313,,,,68.79,111.92
1314,,,,81.3,166.19
1315,,,,43.28,174.04
1316,,,,36.9,236.71
1317,,,,,
1318,,,,,
1319,,,,77.25,163.6
1320,,,,,
1321,,,,51.34,155.37
1322,,,,,
1323,,,,54.79,160.97
1324,,,,,
1325,,,,91.3,203.51
1326,,,,,
1327,,,,116.44,196.08
1328,,,,,
1329,,,,,
1330,,,,131.16,
1331,,,,,
1332,,,,66.41,158.29
1333,,,,,183.67
1334,,,,54.98,182.2
1335,,,,148.12,145.84
1336,,,,79.09,100.69
1337,,,,,
1338,,,,,
1339,,,,,338.37
1340,,,,110.05,153.81
1341,,,,123.14,154.42
1342,,,,121.49,134.86
1343,,,,,
1344,,,,86.63,206.34
1345,,,,106.4,
1346,,,,95.27,177.59
1347,,,,,
1348,,,,129.41,172.78
1349,,,,135.65,
1350,,,,70.47,
1351,,,,,
1352,,,,,
1353,,,,53.06,230.92
1354,,,,113.85,
1355,,,,89.73,286.61
1356,,,,,
1357,,,,71.09,183.86
1358,,,,,
1359,,,,,
1360,,,,,
1361,,,,,258.11
1362,,,,,
1363,,,,63.73,167.58
1364,,,,83.28,174.47
1365,,,,74.31,167.95
1366,,,,47.44,156.97
1367,,,,124.5,162.5
1368,,,,131.06,160.87
1369,,,,88.49,148.76
1370,,,,,
1371,,,,,
1372,,,,,147.98
1373,,,,,248.43
1374,,,,130.8,152.74
1375,,,,,
1376,,,,91.24,205.4
1377,,,,,
1378,,,,,
1379,,,,125.44,134.92
1380,,,,,324.02
1381,,,,57.64,158.55
1382,,,,80.02,325.62
1383,,,,132.37,
1384,,,,,
1385,,,,98.28,
1386,,,,100.75,166.49
1387,,,,87.85,193.8
1388,,,,86.87,163.4
1389,,,,90.88,164.25
1390,,,,99.88,
1391,,,,,283.79
1392,,,,64.72,226.5
1393,,,,,
1394,,,,63.34,206.01
1395,,,,,
1396,,,,64.98,210.86
1397,,,,,
1398,,,,,173.57
1399,,,,,
1400,,,,,324.7
1401,,,,,
1402,,,,,
1403,,,,,
1404,,,,,218.4
1405,,,,82.03,180.56
1406,,,,88.74,300.66
1407,,,,73.02,130.27
1408,,,,100.14,158.78
1409,,,,59.78,119.13
1410,,,,,
1411,,,,103.6,277.11
1412,,,,129.31,234.67
1413,,,,108.39,229.66
1414,,,,112.73,210.63
1415,,,,85.32,177.51
1416,,,,,
1417,,,,112.83,315.2
1418,,,,122.98,131.39
1419,,,,95.99,151.54
1420,,,,,
1421,,,,108.47,160.83
1422,,,,,
1423,,,,71.86,212.43
1424,,,,,
1425,,,,,
1426,,,,50.89,192.28
1427,,,,,
1428,,,,143.6,
1429,,,,226.49,
1430,,,,88.7,215.98
1431,,,,,189.3
1432,,,,,
1433,,,,,
1434,,,,144.67,282.65
1435,,,,,236.38
1436,,,,86.2,227.17
1437,,,,70.85,212.44
1438,,,,86.01,175.55
1439,,,,80.61,193.92
1440,,,,118.42,176.8
1441,,,,114.82,221.12
1442,,,,51.5,217.61
1443,,,,,
1444,,,,,
1445,,,,59.63,209.25
1446,,,,126.32,176.2
1447,,,,103.77,158.99
1448,,,,,
1449,,,,,167.25
1450,,,,,
1451,,,,,
1452,,,,82.31,182.3
1453,,,,,267.02
1454,,,,82.57,181.45
1455,,,,147.28,
1456,,,,,
1457,,,,,531.77
1458,,,,125.66,
1459,,,,92.38,233.71
1460,,,2.32,112.82,215.31
1461,,,,92.67,215.86
1462,,,,117.76,270.32
1463,,,,76.6,195.5
1464,,,,,
1465,,,,139.63,212.51
1466,,,,,
1467,,,,145.0,189.35
1468,,,,,
1469,,,,147.76,194.81
1470,,,,,
1471,,,,113.8,174.75
1472,,,,,
1473,,,,179.56,321.69
1474,,,,,
1475,,,,,
1476,,,,,
1477,,,,142.84,
1478,,,,121.83,240.76
1479,,,,99.73,277.95
1480,,,,153.0,252.99
1481,,,,146.95,211.18
1482,,,,117.92,195.47
1483,,,,,
1484,,,,122.18,301.3
1485,,,,,233.57
1486,,,,85.51,190.54
1487,,,,70.04,256.43
1488,,,,81.0,108.58
1489,,,,,
1490,,,,97.91,237.8
1491,,,,92.03,
1492,,,,105.05,236.79
1493,,,,,
1494,,,,48.87,208.74
1495,,,,,229.15
1496,,,,137.68,159.26
1497,,,,,
1498,,,,,
1499,,,,112.45,261.63
1500,,,,129.1,427.78
1501,,,,75.09,221.01
1502,,,,,357.83
1503,,,,138.98,153.9
