,White_Age0_14_MaleRate,White_Age15_24_MaleRate,White_Age25_44_MaleRate,White_Age45_64_MaleRate,White_Age65Plus_MaleRate,White_Total_MaleRate
401,,,,,140.58,22.05
402,,,,,,
403,,,,,,
404,,,,,134.06,21.61
405,,,,,,
406,,,,,254.41,41.46
407,,,,,,
408,,,,,129.59,24.54
409,,,,,,37.38
410,,,,,,
411,,,,,,
412,,,,,284.45,37.3
413,,,,,,
414,,,,,140.97,24.29
415,,,,,162.01,25.11
416,,,,9.47,117.08,19.34
417,,,,,162.18,23.66
418,,,,,182.86,29.92
419,,,,,147.53,21.09
420,,,,,101.81,24.54
421,,,,,,
422,,,,,,
423,,,,,181.33,27.29
424,,,,,,21.34
425,,,,,143.5,27.36
426,,,,,,
427,,,,,,26.56
428,,,,,,
429,,,,,,
430,,,,,210.34,41.57
431,,,,,,
432,,,,9.17,149.26,22.19
433,,,,,276.08,44.55
434,,,,,224.18,26.1
435,,,,,,
436,,,,,,
437,,,,,165.44,25.81
438,,,,11.28,165.34,26.9
439,,,,,147.69,18.69
440,,,,,,13.58
441,,,,,196.96,22.95
442,,,,,,
443,,,,,146.73,23.83
444,,,,,,
445,,,,,123.15,23.57
446,,,,,,
447,,,,,126.14,23.73
448,,,,,,
449,,,,,233.0,42.11
450,,,,,,
451,,,,,193.08,25.05
452,,,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,9.99,183.63,26.88
457,,,,,266.03,44.93
458,,,,,,16.7
459,,,,,184.95,31.24
460,,,,,124.35,19.99
461,,,,,,
462,,,,,301.06,34.67
463,,,,,181.49,29.63
464,,,,13.16,155.09,25.76
465,,,,,149.92,23.04
466,,,,,145.17,26.62
467,,,,,,
468,,,,,228.44,43.06
469,,,,,,
470,,,,15.86,173.65,33.9
471,,,,,,
472,,,,,123.11,26.92
473,,,,,198.89,48.4
474,,,,,167.55,28.87
475,,,,,,
476,,,,,,
477,,,,,125.95,20.16
478,,,,,304.76,46.79
479,,,,,239.4,42.82
480,,,,,,
481,,,,,175.88,30.39
482,,,,,271.01,58.46
483,,,,,,
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,197.58,29.88
488,,,,9.56,166.31,27.66
489,,,,16.52,152.68,25.77
490,,,,11.27,173.9,25.59
491,,,,10.4,155.87,27.14
492,,,,,151.84,21.15
493,,,,,222.03,38.24
494,,,,,,
495,,,,,,
496,,,,,121.49,23.51
497,,,,,245.3,45.85
498,,,,,98.87,22.41
499,,,,,,
500,,,,,233.53,42.2
501,,,,,,
502,,,,,,
503,,,,,142.2,27.12
504,,,,,,
505,,,,9.84,170.07,24.73
506,,,,,277.74,49.53
507,,,,,,
508,,,,,,
509,,,,,,
510,,,,,154.81,26.1
511,,,,,9.95,2.29
512,,,,,,
513,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,,,,,,
518,,,,,,
519,,,,,,
520,,,,,,
521,,,,,,
522,,,,,,
523,,,,,,
524,,,,,,
525,,,,,,
526,,,,,,
527,,,,,,
528,,,,,,
529,,,,,,
530,,,,,,
531,,,,,,
532,,,,,,
533,,,,,,
534,,,,,,
535,,,,,,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,,,,
540,,,,,,
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,,,,
547,,,,,,
548,,,,,,
549,,,,,,
550,,,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,,,,,,
557,,,,,,
558,,,,,,
559,,,,,,
560,,,,,,
561,,,,,15.12,4.55
562,,,,,,
563,,,,,15.3,3.17
564,,,,,,
565,,,,,,
566,,,,,,
567,,,,,,
568,,,,,,
569,,,,,,
570,,,,,,
