,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate
763,,,,,,,,,,
764,,,,,,,,,,
765,,,,,,,,,,
766,,,,,,,,,,
767,,,,,,,,,,
768,,,,,,,,,,
769,,,,,,,,,,
770,,,,,,,,,,
771,,,,,,,,,,
772,,,,,,,,,,
773,,,,,,,,,,
774,,,,,,,,,,
775,,,,,,,,,,
776,,,,,,,,,,
777,,,,,,,,,,
778,,,,,,,,,,
779,,,,,,,,,,
780,,,,,,,,,,
781,,,,,,,,,,
782,,,,,,,,,5.0,14.34
783,,,,,,,,,,
784,,,,,,,,,,
785,,,,,,,,,,
786,,,,,,,,,,
787,,,,,,,,,,
788,,,,,,,,,,
789,,,,,,,,,,
790,,,,,,,,,,
791,,,,,,,,,,
792,,,,,,,,,,
793,,,,,,,,,,
794,,,,,,,,,,
795,,,,,,,,,,
796,,,,,,,,,,
797,,,,,,,,,6.0,8.73
798,,,,,,,,,,
799,,,,,,,,,,
800,,,,,,,,,,
801,,,,,,,,,,
802,,,,,,,,,,
803,,,,,,,6.0,1.55,21.0,12.52
804,,,,,,,,,,
805,,,,,,,,,,
806,,,,,,,,,,
807,,,,,,,,,,
808,,,,,,,,,,
809,,,,,,,,,,
810,,,,,,,,,,
811,,,,,,,,,,
812,,,,,,,,,,
813,,,,,,,,,,
814,,,,,,,,,,
815,,,,,,,,,,
816,,,,,,,,,,
817,,,,,,,,,,
818,,,,,,,,,,
819,,,,,,,,,,
820,,,,,,,,,,
821,,,,,,,,,7.0,21.01
822,,,,,,,,,,
823,,,,,,,,,,
824,,,,,,,,,,
825,,,,,,,,,,
826,,,,,,,,,,
827,,,,,,,,,,
828,,,,,,,,,,
829,,,,,,,,,,
830,,,,,,,,,,
831,,,,,,,,,,
832,,,,,,,,,,
833,,,,,,,,,,
834,,,,,,,,,,
835,,,,,,,,,,
836,,,,,,,,,,
837,,,,,,,,,,
838,,,,,,,,,,
839,,,,,,,,,,
840,,,,,,,,,,
841,,,,,,,,,,
842,,,,,,,,,,
843,,,,,,,,,,
844,,,,,,,,,,
845,,,,,,,,,,
846,,,,,,,,,,
847,,,,,,,,,,
848,,,,,,,,,,
849,,,,,,,,,,
850,,,,,,,,,,
851,,,,,,,,,,
852,,,,,,,,,,
853,,,,,,,,,7.0,19.39
854,,,,,,,,,,
855,,,,,,,,,6.0,16.76
856,,,,,,,,,,
857,,,,,,,,,,
858,,,,,,,,,,
859,,,,,,,,,,
860,,,,,,,,,,
861,,,,,,,,,,
862,,,,,,,,,,
863,,,,,,,,,,
864,,,,,,,,,,
865,,,,,,,,,,
866,,,,,,,,,,
867,,,,,,,,,,
868,,,,,,,,,,
869,,,,,,,,,,
870,,,,,,,,,10.0,15.14
871,,,,,,,,,,
872,,,,,,,,,,
873,,,,,,,,,,
874,,,,,,,,,,
875,,,,,,,,,,
876,,,,,,,5.0,1.31,21.0,13.19
877,,,,,,,,,,
878,,,,,,,,,,
879,,,,,,,,,,
880,,,,,,,,,,
881,,,,,,,,,,
882,,,,,,,,,,
883,,,,,,,,,,
884,,,,,,,,,,
885,,,,,,,,,,
886,,,,,,,,,,
887,,,,,,,,,,
888,,,,,,,,,,
889,,,,,,,,,,
890,,,,,,,,,,
891,,,,,,,,,,
892,,,,,,,,,,
893,,,,,,,,,,
894,,,,,,,,,7.0,21.99
895,,,,,,,,,,
896,,,,,,,,,,
897,,,,,,,,,,
898,,,,,,,,,,
